Latif,লতিফ
Uddin,উদ্দিন
Tilpapara,তিল্পাপাড়া
Kamlapur,কমলাপুর
Dhanmondi,ধানমন্ডি
Nurarchala,নুরারচালা
Tikkapara,টিক্কাপাড়া
Culvert,কালভার্ট
Mouchak,মৌচাক
Kholbarirtek,খোলবারিরটেক
Kholbarirtek,খোলবাড়িরটেক
Mohammadia,মোহাম্মদিয়া
Extension,এক্সটেনশন
kathal,কাঠাল
Kamalapur,কমলাপুর
Joinpuri,জৈনপুরী
Khanka,খানকা
Lake,লেক
View,ভিউ
Mugda,মুগদা
Anandadhara,আনন্দধারা
Parbatta,পার্বত্ত
Ghaus,গাউস
Gaus,গাউস
Amtoli,আমতলী
Gudaraghat,গুদারাঘাট
Abhay,অভয়
Das,দাস
New Eskaton,নিউ ইস্কাটন
Molla Para,মোল্লাপাড়া
Chamelibag,চামেলীবাগ
Pragati,প্রগতি
Rajabazar,রাজাবাজার
Noboday,নবোদয়
Shantibagh,শান্তিবাগ
Notun,নতুন
Pullpar,পুলপাড়
Sangkar,সংকর
Katashur,কাটাসুর
Sukrabad,শুক্রাবাদ
Nayabazar,নয়াবাজার
Z R,জেডআর
Nilkhet,নীলক্ষেত
Kataban,কাঁটাবন
Kataban,কাটাবন
Katashur,কাটাশুর
NamaBazar,নামাবাজার
Mohakhali,মহাখালী
Sarkar,সরকার
Uddyan,চাদ
Uddyan,উদ্যান
Nayanagar,নয়নগর
Sobhanbagh,সোবহানবাগ
Noboudoy,নবউদয়
Kaderabad,কাদেরবাদাবাদ
Satmasjid,সাতমসজিদ
Sonali,সোনালী
Nayanagar,নয়ানগর
Monipuripara,মনিপুরীপাড়া
Fakirapool,ফকিরাপুল
Zannat,জন্নাত
Jannatbagh,জান্নাতবাগ
Manikdi,মানিকদী
Momenbagh,মোমেনবাগ
Nobinagar Housing,নবীনগর
Matikata,মাটিকাটা
Dewan,দেওয়ান
Dewan Para,দেওয়ানপাড়া
Vasantek,ভাসানটেক
Vasantek,ভাষানটেক
Tonartek,টোনারটেক
Shahidbagh,শহীদবাগ
Dewanpara,দেওয়ানপাড়া
Chandrima,চন্দ্রিমা
Johuri,জোহুরী
Moholla,মহল্লা
Dhamalkot,ধামালকোট
Solmiad,সল্মিড
Manikdi,মানিকদি
Gonirtek,গনিরটেক
Nombortek,নম্বরটেক
Jagannathpur,জগন্নাথপুর
Pur,পুর
Nadda,নর্দা
Nadda,নরদা
Manikdi Bazar,মানিকদী বাজার
Bangla,বাংলা
Sher,শের
Mastertek,মাস্টারটেক
Balughat,বালুঘাট
Baruntek,বরুন্টেক
Barontek,বরুনটেক
Goltek,গলটেক
Baigertek,বাইজারটেক
Joar,জোয়ার
Shahara,শাহারা
Kuril,কুরিল
Ananda,আনন্দ
jheelpar,ঝিলপাড়
Madina,মদিনা
Sonakatra,সোনাকাতরা
Corner,কর্নার
Kuratoli,কুরাতলী
Kuratoli,কুড়াতলী
darussalam,দারুসালাম
Tejkuni,তেজকুনী
Nakhalpara,নাখালপাড়া
Green,গ্রিন
Arjotpara,আরজতপাড়া
Shaheenbagh,শাহীনবাগ
Rasulbagh,রসুলবাগ
Tejturibazar,তেজতুরিবাজার
Ajij,অজিজ
Tejturi,তেজতুরী
Peyarabagh,পেয়ারাবাগ
Greenway,গ্রিনওয়ে
Gabtola,গাবতলা
Noyatola,নয়াটোলা
Modhubagh,মধুবাগ
Mirbagh,মিরবাগ
Jafranbagh,জাফরানবাগ
Gulshan,গুলশান
Jafrabad,জাফরাবাদ
Science,বিজ্ঞান
Laboratory,ল্যাবরেটরি
Poribagh,পরিবাগ
Poribagh,পরীবাগ
Hatirpul,হাতিরপুল
Shankar,শংকর
Jamtola,জামতলা
Notunbagh,নতুনবাগ
Ansarbagh,আনসারবাগ
Meradia,মেরাদিয়া
Saherunbag,শাহেরুনবাগ
Sipahibag,সিপাহীবাগ
Moddhopara,মধ্যপাড়া
Moulvirtek,মৌলোভীরটেক
Kakrail,কাকরাইল
Bijoy,বিজয়
Shegunbagicha,সেগুনবাগিচা
Bijoynagar,বিজয়নগর
Paltan,পল্টন
Naya paltan,নয়াপল্টন
Madartek,মাদারটেক
Sharifbagh,শরীফাবাদ
Madartek,মাদারটেক
Sobujbagh,সবুজবাগ
Banasree,বনশ্রী
Jahurul,জহুরুল
Islam,ইসলাম
City,সিটি
East,পূর্ব
East,ইস্ট
West,পশ্চিম
West,ওয়েস্ট
South,সাউথ
South,দক্ষিণ
South,দক্ষিন
North,নর্থ
North,উত্তর
New,নিউ
Old,ওল্ড
Old,পুরান
A,একজন
Aadi,আদি
Aashirbaad,আশীর্বাদ
Abakash,অবকাশ
Abanti,অবন্তি
Abas,আবাস
Abash,আবাশ
Abashik,আবাসিক
Abashon,আবাসন
Abason,আবাশন
Abbas,আব্বাস
Abdul,আব্দুল
Abdulla,আবদুল্লাহ
Abdullah,আব্দুল্লাহ
Abedin,আবেদীন
Abida,আবিদা
Abir,আবির
Abode,গৃহ
Abrar,আবরার
Babla,বাবল
Songoti,সঙ্গতি
Achal,আঁচল
Achol,আচল
Address,ঠিকানা
Adil,আদিল
Aditi,অদিতি
Adore,পূজা করা
Adyan,আদিয়ান
sneho,স্নেহ
Afjal,আফজাল
Afnan,আফনাফ
Afroj,আফরোজ
Agency,এজেন্সী
Agomoni,আগমনী
Ahad,আহাদ
Ahmed,আহমেদ
Ahsan,আহসান
Ajad,আজাদ
Ajam,মনোয়ার
Ajij,আজিজ
Ajom,আজম
Akankha,আকাঙ্ক্ষা
AKAnto,আকন্ত
Akbar,আকবর
Akbor,আকবর
Akhtar,আখতার
Akhtarujjaman,আখতারুজ্জামান
Akhter,আখতার
Akkas,আক্কাস
Akon,একন
Akondo,আকন্দ
Aksa,আক্সা
Aksa,আকসা
Akter,আক্তার
Alam,আলম
Alamgir,আলমগীর
Alams,আলমস
Alauddin,আলাউদ্দিন
Aleena,আলিনা
Aleya,আলেয়া
Ali,আলী
Alif,আলিফের
Alim,আলীম
Alingon,আলিঙ্গন
Allah,আল্লাহ
Alliance,জোট
Alo,আলো
Ghritokumari,ঘৃতকুমারী
Aloi,আলই
Aloha,আলোহা
Alom,আলম
Alomgir,আলমগির
Alomgir,আলমগীর
Aloy,অজয়
Alpona,আলপনা
Altaf,আলতাফ
Aman,আমানত
Amanat,আমানত
Amber,অ্যাম্বার
Ameena,আমিনা
Amena,আমেনা
Amicus,অ্যামিকাস
Amin,আমিন
Amina,আমিনা
Amir,আমির
Amity,এমিটি
Amraboti,অমরাবতী
Anabil,অনাবিল
Anamika,অনামিকা
Ananda,আনন্দ
Ananna,অনন্য
Anannya,অনন্য
Anchorage,অ্যাঙ্কোরেজ
And,এবং
Angan,অঙ্গন
Angel,এঞ্জেল
Angelica,এঞ্জেলিকা
Angels,এঞ্জেলস
Angina,আঙ্গিনা
Anika,আনিকা
Anirban,অনির্বাণ
Anis,আনিস
Anjuman,আঞ্জুমান
Anondolok,আনন্দলোক
Anonna,অনন্য
Anowara,আনোয়ারা
Antora,অন্তরা
Anupom,অনুপম
Anwar,আনোয়ার
Anwara,আনোয়ারা
Aoal,আউয়াল
Aparajita,অপরাজিতা
Apartment,এপার্টমেন্ট
Apartments,এপার্টমেন্টস
Apon,আপন
Apurba,অপূর্ব
Ara,আরা
Aramic,এরামিক
Arbin,আরবিন
Arcade,আর্কেড
Arcadia,আর্কেডিয়া
Area,এরিয়া
Arefin,আরেফিন
Arena,এরিনা
Arif,আরিফ
Aristocracy,এরিস্টক্রেসী
Ariyan,আরিয়ান
Arju,আরজু
Ark,আর্ক
Arnob,অর্ণব
Aroma,এরমা
Aroni,অরণী
Arshi,আরশি
Artisan,আরটিজান
Artisan,আর্টিজান
Arunima,অরুণিমা
Arzu,আরজু
Asad,আসাদ
Asadujjaman,আসাদুজ্জামান
Asaduzzaman,আসাদুজ্জামান
Ascot,আসকট
Asha,আশা
Ashiana,আশিয়ানা
Ashirbaad,আশির্বাদ
Ashiyana,আশিয়ানা
Ashraf,আশরাফ
Ashroy,আশ্রয়
Ashura,আশুরার
Aslam,আসলাম
Asma,আসমা
Asoledo,আসলেদো
Aspen,এস্পেন
Asset,অ্যাসেট
Associates,অ্যাসোসিয়েটস
Assurance,আশ্বাসন
Assure,অ্যাসুর
Atik,আতিক
Atlanta,আটলান্টা
Aurora,ঊষা
Available,সহজলভ্য
Avalon,আভালন
Avason,আভাসন
Avenue,এভিনিউ
Avillash,অভিলাষ
Awal,আউয়াল
Ayesha,আয়েশা
Ayon,অয়ন
Ayshaloy,আয়শালয়
Azad,আজাদ
Azam,আজম
Azim,আজিম
Aziz,আজিজ
Azure,আজুর
Babar,বাবর
Bablu,বাবলু
Babu,বাবু
Babul,বাবুল
Baby,বেবি
Bacchu,বাচ্চু
Bachir,বছির
Badhan,বাধন
Badhon,বাঁধন
House,বাসা
House,হাউস
House,হাউজ
Plot,প্লট
House,বাড়ি
House,বাড়ী
House,হোল্ডিং
Badol,বাদল
Bagan,বাগান
Bagh,বাগ
Bahar,বাহার
Baki,বাকী
Bakul,বকুল
Balaka,বলাকা
Ballerina,ব্যলেরিনা
Balliya,বাল্লিয়া
Banalata,বনলতা
Banani,বনানী
Banasri,বনশ্রী
Bandhan,বন্ধন
Bangla,বাংলা
Bangladesh,বাংলাদেশ
Banoful,বনফুল
Banu,বানু
Barek,বারেক
Bari,বারী
Barnali,বর্ণালী
Baroi,বারই
Baruntek,বরুন্টেক
Basar,বাসার
Based,বেসড
Baset,বাসেত
Bashabo,বাসাবো
Bashar,বাশার
Bashundhara,বসুন্ধরা
Batayan,বাতায়ন
Baten,বাতেন
Bazar,বাজার
Beauty,বিউটি
Beg,বেগ
Begum,বেগম
Bela,বেলার
Beli,বেলি
Bell,বেল
Belmont,ব্যালমন্ট
Bepari,বেপারি
Bepary,বেপারী
Bhaban,ভবন
Bhandar,ভাণ্ডার
Bhandari,ভান্ডারি
Bhavan,ভবন
Bhubon,ভুবন
Bhuiya,ভূঁইয়া
Bhuiyan,ভূঁইয়া
Bibi,বিবি
Bihongo,বিহঙ্গ
Bijoy,বিজয়
Bilas,বিলাস
Bilkis,বিলকিস
Billa,বিল্লা
Billah,বিল্লাহ
Bindu,বিন্দু
Bipasha,বিপাশা
Biroti,বিরতি
Bismillah,বিসমিল্লাহ
Biswas,বিশ্বাস
Bitan,বিতান
Bithi,বীথি
Bithika,বীথিকা
Blessing,ব্লেসিং
Bliss,ব্লিশ
Bloom,ব্লুম
Blossom,ব্লুস্ম
Blues,ব্লুজ
Boarding,বোর্ডিং
Bodiujjaman,বদিউজ্জামান
Bodrujjaman,বদরুজ্জামান
Bodrunnesa,বদরুন্নেসা
Boishakhi,বৈশাখী
Bokor,বকর
Bokul,বকুল
Bonanto,বনান্ত
Bonchaya,বনছায়া
Bonolota,বনলতা
Borshon,বর্ষণ
Boshumoti,বসুমতী
Bosoti,বসতি
Bosti,বস্তি
Box,বক্স
BPL,বিপিএল
Bridge,ব্রিজ
Brikkho,বৃক্ষ
Bristy,বৃষ্টি
Britannia,ব্রিটানিয়া
BTI,বিটিআই
Builders,বিল্ডার্স
Building,বিল্ডিং
Bulbul,বুলবুল
C,সি
Camellia,ক্যামেলিয়া
Camp,ক্যাম্প
Candlewood,ক্যন্ডলউড
Canopy,কেনপি
Care,কেয়ার
Carnation,কারনেসন
Carnival,কার্নিভ্যাল
Casabella,কাসাবেলা
Casaflora,কাসাফ্লরা
Cascade,ক্যাসকেড
Castle,ক্যাসল
Celosia,কেলসিয়া
Center,কেন্দ্র
Centre,সেন্টার
Century,সেঞ্চুরি
Chairmanbari,চেয়ারম্যানবাড়ি
Chaklader,চাকলাদার
Chalet,চ্যলেট
Chamber,চেম্বার
Chambers,চেম্বারস
Chameli,চামেলি
Chan,চ্যান
Chanaullah,ছানাউল্লাহ
Chandramollika,চন্দ্রমল্লিকা
Chandrima,চন্দ্রিমা
Chapa,চাপা
Chatrabas,ছাত্রাবাস
Chaya,ছায়া
Chayabithi,ছায়াবীথি
Chayabrikkho,ছায়াবৃক্ষ
Chayaneer,ছায়ানীড়
Chayapallab,ছায়াপল্লব
Cherry,চেরি
Chicory,চিকোরি
Chirontoni,চিরন্তনী
Chisti,চিশতি
Chitra,চিত্রা
Chobi,ছবি
Choi,চোই
Choitali,চৈতালি
Chokdar,চোকদার
Chondrika,চন্দ্রিকা
Chondrima,চন্দ্রিমা
Chor,চর
Chowa,ছোঁয়া
Chowdhury,চৌধুরী
Choynika,চয়নিকা
Circle,সার্কেল
Circus,সার্কাস
Citadel,সিটাডেল
City,সিটি
Classic,ক্লাসিক
Clinic,ক্লিনিক
Cloud,ক্লাউড
Club,ক্লাব
Collection,কালেকশন
College,কলেজ
Colony,কলোনি
Comfort,কমফোর্ট 
Company,কোম্পানি
Completed,কমপ্লিটেড
Complex,কমপ্লেক্স
Concord,কনকর্ড
Condominium,কন্ডোমিনিয়াম
Construction,কন্সট্রাকসন 
Core,কোর
Corner,কর্নার
Corporation,কর্পোরেশন
Cosmetics,কস্মেটিকস
Cosmetics,কসমেটিকস
Cosmo,কসমো
Cottage,কটেজ
Court,কোর্ট
Crescent,ক্রিসেন্ট
Crest,ক্রেস্ট
Crib,ক্রিব
Crown,ক্রাউন
Crus,ক্রুশ
Crystal,ক্রিস্টাল
Cynthia,সিনথিয়া
Daffodil,ড্যাফোডিল
Dalia,ডালিয়া
Daisy,ডেইজি
Dakkhina,দক্ষিণা
Dale,ডেইল
Dali,ডালি
Dan,দান
Daruchini,দারুচিনি
Darussalam,দারুসালাম
Das,দাস
Daulat,দৌলত
Debonair,দেবনাইর
Deholi,দেহলী
Delight,ডিলাইট
Dell,ডেল
Den,ডেন
Desire,ডিসায়ার
Destiny,ডেস্টিনি
Developers,ডেভেলপারস
Development,ডেভেলপমেন্ট
Devine,ডিভাইন
Dew,ডিও
Dewan,দেওয়ান
Dewdrop,ডেওড্রপ
Dhaka,ঢাকা
Dhali,ঢালী
Dhamalkot,ঢামালকোট
Dhanmondi,ধানমন্ডি
Dhanshiri,ধানসিড়ি
Dhara,ধারা
Dhorola,ধরলা
Dhrubo,ধ্রুব
Dhrubotara,ধ্রুবতারা
Dhupchaya,ধূপছায়া
Diamond,ডায়মন্ড
Diganto,দিগন্ত
Dilara,দিলারা
Dilruba,দিলরুবা
Dilu,দিলু
Dip,দীপ
Dipti,দীপ্তি
Dipu,দীপু
Disha,দিশা
Dishari,দিশারী
Dua,দোআ
Dua,দুয়া
Dua,দুআ
Dolipara,দলিপারা
Dolonchapa,দোলনচাঁপা
Domain,ডোমেইন
Domino,ডোমিনো
Domino,ডমিনো
Door,ডোর
Dream,ড্রীম
Dreamland,ড্রীমল্যান্ড
Dreams,ড্রিমস
Dream,ড্রিম
Drop,ড্রপ
Drops,ড্রপস
Dulal,দুলাল
Duniya,দুনিয়া
Dynasty,ডিনাস্টি
E,ই
Eastern,ইস্টার্ন
Ecstasy,ইস্টাসি
Eden,ইডেন
Edifice,এডিফিস
EHL,ইএইচএল
Ehsan,এহসান
Elahi,এলাহী
Electronic,ইলেকট্রনিক
Electronics,ইলেক্ট্রনিক্স
Elegance,এলিগেন্স
Elias,ইলিয়াস
Elite,এলিট
Emerald,এমারল্ড
Eminence,এমিনেন্স
Emon,ইমন
Empire,অ্যাম্পায়ার
Ena,এনা
Enterprise,এন্টারপ্রাইজ
Enterprises,এন্টারপ্রাইজস
Epl,ইপিএল
Ershad,এরশাদ
Esha,এশা
Esperanza,এস্পারেন্জা
Estate,স্টেট
Etimkhana,এতিমখানা
Eudora,ইউডোরা
Euphoria,ইউফোরিয়া
Eva,ইভা
Evergreen,এভারগ্রিন
Evergreen,এভারগ্রীন
Evershine,এভারসাইন
Fabrics,ফেব্রিক্স
Fabrics,ফেব্রিকস
Fabric,ফেব্রিক
Fair,ফেয়ার
Fakirbari,ফকিরবাড়ী
Falcon,ফেল্কন
Falgun,ফাল্গুন
Falguni,ফাল্গুনী
Farhan,ফারহান
Farhana,ফারহানা
Faruk,ফারুক
Faruque,ফারুক
Fashion,ফ্যাশন
Fatema,ফাতেমা
Fatima,ফাতিমা
Fattah,ফাত্তাহ
Fazal,ফজল
Ferdous,ফেরদৌস
Field,ফিল্ড
Firoz,ফিরোজ
Flora,ফ্লোরা
Florenza,ফ্লরেঞ্জা
Florenza,ফ্লোরেঞ্জা
Flower,ফুল
Flower,ফ্লাওয়ার
Fojilatunnesa,ফজিলতুন্নেসা
Fokir,ফকির
Forid,ফরিদ
Fortuna,ফরচুনা
Fortune,ফরচুন
Foundation,ফাউন্ডেশন
Foyez,ফয়েজ
Front,ফ্রন্ট
Gaffar,গাফ্ফার
Gafur,গফুর
Gaji,গাজি
Galaxy,গ্যলাক্সি
GALLERIA,গ্যলারিয়া
Gandha,গান্ধা
Gani,গণি
Garage,গ্যারেজ
Garden,বাগান
Gardenia,গার্ডেনিয়া
Gate,গেট
Gazi,গাজী
General,সাধারণ
General,জেনারেল
Gents,জেন্টস
Ghar,ঘর
Ghor,ঘোর
Ghosh,ঘোষ
GK,জিকে
Glory,গ্লোরি
Godhuli,গোধূলী
Gofran,গোফরান
Gofur,গফুর
Gojnobi,গজনবী
Golam,গোলাম
Golap,গোলাপ
Gold,গোল্ড
Goli,গলী
Golpo,গল্প
Gomej,গোমেজ
Gondha,গন্ধা
Gong,গং
Goni,গণি
Gp,জিপি
Grace,অনুগ্রহ
Grance,গ্রেন্স
Grand,গ্র্যান্ড
Grand,গ্রান্ড
Grande,গ্র্যান্ডে
Green,গ্রীন
Green,গ্রিন
Group,গ্রুপ
Grove,গ্রোভ
Gulbagh,গুলবাগ
Gulshan,গুলশান
Gunjon,গুঞ্জন
Habib,হাবিব
Habibullah,হাবিবুল্লাহ
Habibur,হাবিবুর
Hafej,হাফেজ
Hafij,হাফীজ
Hafiz,হাফিজ
Haider,হায়দার
Hajera,হাজেরা
Hakim,হেকিম
Hakim,হাকিম
Halim,হালিম
Halima,হালিমা
Hall,হল
Hamd,হাম্দ
Hamid,হামিদ
Hamida,হামিদা
Hamlet,হ্যম্লেট
Hanif,হানিফ
Hannan,হান্নান
Haowlader,হাওলাদার
Haque,হক
Harbour,হার্বোর
Hardware,হার্ডওয়্যার
Haritage,হ্যারিটেজ
Harmony,হারমনি
Harun,হারুন
Hasan,হাসান
Hasanuzzaman,হাসানুজ্জামান
Hashem,হাশেম
Hashi,হাসি
Hasina,হাসিনা
Hasnahena,হাসনাহেনা
Hawa,হাওয়া
Hawlader,হাওলাদার
Hayat,হায়াত
Hazi,হাজী
Heart,হৃদয়
Heaven,হ্যাভেন
Height,হাইট
Heights,হাইটস
Helal,হেলাল
Helen,হেলেন
Helena,হেলেনা
Hena,হেনা
Heritage,হ্যারিটেজ
Hill,হিল
hiron,হিরণ
Holding,হোল্ডিং
Holdings,হোল্ডিংস
Home,বাড়ি
Homeland,হোমল্যান্ড
Homes,হোমস
Horizon,হরিজন
Hosna,হোস্না
Hossain,হোসাইন
Hossen,হোসেন
Hostel,হোস্টেল
Hotel,হোটেল
House,হাউস
Housing,হাউজিং
Huda,হুদা
Humaira,হুমায়রা
Humayun,হুমায়ুন
Hussain,হুসেন
kutir,কুটির
Ibrahim,ইব্রাহিম
Ibrahimpur,ইব্রাহীমপুর
Idris,ইদ্রিস
Ilahi,ইলাহি
Imam,এমাম
Iman,ইমান
Imperial,ইম্পেরিয়াল
Imran,ইমরান
Index,ইনডেক্স
Insaf,ইনসাফ
International,আন্তর্জাতিক
International,ইন্টারন্যশনাল
Iqbal,ইকবাল
Ishak,ইসহাক
Islam,ইসলাম
Island,আইসল্যান্ড
Ismail,ইসমাইল
Israfil,ইসরাফিল
Jabbar,জব্বার
Jahan,জাহান
Jahanara,জাহানারা
Jahangir,জাহাঙ্গীর
Jalil,জলিল
Jamal,জামাল
Jaman,জামান
Janani,জননী
Jannah,জান্নাহ
Jannat,জান্নাত
Jebunnesa,জেবুন্নেসা
Jerin,জেরিন
Jesmin,জেসমিন
Jewel,জুয়েল
Jewellers,জুয়েলার্স
Jhinuk,ঝিনুক
Jhorna,ঝর্না
Jhornadhara,ঝর্ণাধারা
Jhornadhara,ঝরনাধারা
Jhuri,ঝুরি
Joba,জবা
Johra,জোহরা
Joinal,জয়নাল
Jolil,জলিল
Jononi,জননী
Joshna,জ্যোৎস্না
Josim,জসীম
Josna,জোস্না
Joti,জ্যোতি
Joy,জওয়
Jui,জুই
Julekha,জুলেখা
Kabir,কবির
Kader,কাদের
Kadir,কাদির
Kafrul,কাফরুল
Kaiyum,কাইয়ুম
Kajoli,কাজলি
Kakoli,কাকলি
Kalabagan,কলাবাগান
Kalam,কালাম
Kamal,কামাল
Kamini,কামিনী
Kamol,কমল
Kamrujjaman,কামরুজ্জামান
Kamrul,কামরুল
Kamrunnahar,কামরুন নাহার
Kamrunnesa,কামরুন্নেসা
Kanakchapa,কনকচাঁপা
Kanchan,কাঞ্চন
Kanchon,কাঞ্চন
Kaniz,কানিজ
Kannan,কান্নান
Kanon,কানন
Karabi,করবী
Karim,করিম
Kashem,কাশেম
Kashful,কাশফুল
Katha,কাঠা
Kathaltola,কাঠতলা
Kayes,কায়েস
Kayum,কাইয়ুম
Kazi,কাজী
Kazipara,কাজীপাড়া
Kendro,কেন্দ্র
Keya,কেয়া
Khairuzzaman,খায়রুজ্জামান
Khaled,খালেদ
Khalek,খালেক
Khaleq,খালেক
Khalid,খালিদ
Khalil,খলিল
Khan,খান
Khana,খানা
Khanam,খানম
Khandakar,খন্দকার
Khanik,ক্ষণিকা
Khanika,ক্ষণিকা
Khanikaloi,খনিকালয়
